Net Status Report
Filename     : C:\Users\Administrator\Desktop\输入输出模块\模拟量输入模块_V1_0.PcbDoc
Date         : 2018-09-28
Time         : 10:26:28
Time Elapsed : 00:00:00

Nets, Layer, Length
    +24V, Signal Layers Only, 0mils
    +3.3V, Signal Layers Only, 0mils
    AD_ECO, Signal Layers Only, 0mils
    AGND, Signal Layers Only, 0mils
    AIN1, Signal Layers Only, 0mils
    AIN10, Signal Layers Only, 0mils
    AIN11, Signal Layers Only, 0mils
    AIN2, Signal Layers Only, 0mils
    AIN3, Signal Layers Only, 0mils
    AIN4, Signal Layers Only, 0mils
    AIN5, Signal Layers Only, 0mils
    AIN6, Signal Layers Only, 0mils
    AIN7, Signal Layers Only, 0mils
    AIN8, Signal Layers Only, 0mils
    AIN9, Signal Layers Only, 0mils
    AN1, Signal Layers Only, 0mils
    AN10, Signal Layers Only, 0mils
    AN2, Signal Layers Only, 0mils
    AN3, Signal Layers Only, 0mils
    AN4, Signal Layers Only, 0mils
    AN5, Signal Layers Only, 0mils
    AN6, Signal Layers Only, 0mils
    AN7, Signal Layers Only, 0mils
    AN8, Signal Layers Only, 0mils
    AN9, Signal Layers Only, 0mils
    BLE_ST, Signal Layers Only, 0mils
    BOOT0, Signal Layers Only, 0mils
    BOOT1, Signal Layers Only, 0mils
    GND2, Signal Layers Only, 0mils
    LED, Signal Layers Only, 0mils
    NRST, Signal Layers Only, 0mils
    NetC20_1, Signal Layers Only, 0mils
    NetC24_1, Signal Layers Only, 0mils
    NetC25_1, Signal Layers Only, 0mils
    NetC25_2, Signal Layers Only, 0mils
    NetC26_1, Signal Layers Only, 0mils
    NetC26_2, Signal Layers Only, 0mils
    NetC27_2, Signal Layers Only, 0mils
    NetC2_2, Signal Layers Only, 0mils
    NetC3_2, Signal Layers Only, 0mils
    NetC50_2, Signal Layers Only, 0mils
    NetC52_2, Signal Layers Only, 0mils
    NetD10_2, Signal Layers Only, 0mils
    NetD11_2, Signal Layers Only, 0mils
    NetD12_2, Signal Layers Only, 0mils
    NetD13_2, Signal Layers Only, 0mils
    NetD1_1, Signal Layers Only, 0mils
    NetD2_2, Signal Layers Only, 0mils
    NetD4_2, Signal Layers Only, 0mils
    NetD5_2, Signal Layers Only, 0mils
    NetD6_2, Signal Layers Only, 0mils
    NetD7_2, Signal Layers Only, 0mils
    NetD8_2, Signal Layers Only, 0mils
    NetD9_2, Signal Layers Only, 0mils
    NetJP1_2, Signal Layers Only, 0mils
    NetQ1_1, Signal Layers Only, 0mils
    NetR8_1, Signal Layers Only, 0mils
    NetR9_1, Signal Layers Only, 0mils
    REF4.096, Signal Layers Only, 0mils
    RS232-RX, Signal Layers Only, 0mils
    RS232-TX, Signal Layers Only, 0mils
    RS485-A, Signal Layers Only, 0mils
    RS485-B, Signal Layers Only, 0mils
    SPI1_CS, Signal Layers Only, 0mils
    SPI1_MISO, Signal Layers Only, 0mils
    SPI1_MOSI, Signal Layers Only, 0mils
    SPI1_SCK, Signal Layers Only, 0mils
    SWCLK, Signal Layers Only, 0mils
    SWDIO, Signal Layers Only, 0mils
    T1, Signal Layers Only, 0mils
    T2, Signal Layers Only, 0mils
    TIN1, Signal Layers Only, 0mils
    TIN2, Signal Layers Only, 0mils
    TXEN, Signal Layers Only, 0mils
    UART1_RX, Signal Layers Only, 0mils
    UART1_TX, Signal Layers Only, 0mils
    UART2_RX, Signal Layers Only, 0mils
    UART2_TX, Signal Layers Only, 0mils
    UART3_RX, Signal Layers Only, 0mils
    UART3_TX, Signal Layers Only, 0mils
    VCC, Signal Layers Only, 0mils
count : 81
