"Bill of Material for 模拟量输入模块.PrjPCB"
"On 2020/2/26 at 13:46:01"

"Comment","Pattern","Quantity","Components"

"0.01uF","0805","1","C14","Capacitor"
"0.1uF","0805","29","C11, C12, C15, C16, C19, C21, C22, C23, C24, C25, C26, C27, C28, C29, C31, C33, C35, C37, C39, C41, C43, C45, C47, C50, C51, C52, C53, C54, C55","Capacitor"
"1000uF/10V","DR10*10","1","C13","Electrolytic Capacitor"
"100R","0805","9","R12, R13, R14, R15, R16, R17, R18, R19, R20","Resistor"
"100UF","2220-1","1","C17",""
"100uH/3A","DIANGAN1.5A","1","L1",""
"103","0805","2","C5, C7","Capacitor"
"104","0805","3","C1, C4, C6","Capacitor"
"10k","0805","9","R1, R4, R5, R6, R7, R32, R33, R35, R37",""
"10R","0805","1","R38",""
"10uF","1210(+)","2","C8, C9","Capacitor"
"1k","0805","2","R3, R40",""
"1N5339B","DIODE-0.3","9","D4, D5, D6, D7, D8, D9, D10, D11, D12","Schottky Diode"
"1N5819","DIODE-2","1","D2","Diode"
"200R1ppm","axial0.3","9","R22, R23, R24, R25, R26, R27, R28, R29, R30",""
"20R","0805","2","R10, R11",""
"22P","0805","2","C2, C3","Capacitor"
"22uF","1210(+)","10","C20, C30, C32, C34, C36, C38, C40, C42, C44, C46","Capacitor"
"2K","0805","1","R39",""
"4.7k/0.25W","1206","2","R34, R36",""
"4.7K","0805","2","R8, R9",""
"47uF/50V","ROND-0.2","1","C10","Electrolytic Capacitor"
"5.1V","DIDO","9","D14, D15, D16, D17, D18, D19, D20, D21, D22","Schottky Diode"
"510","0805","1","R2",""
"6N137","DIP8","2","N1, N2",""
"8050","sot-23","1","Q1","NPN Transistor"
"8M","XATL-5MM","1","X1","Crystal Oscillator"
"AS1117-3.3V","sot223","1","U4",""
"DG1.5A","0805","1","F10",""
"ISP","CON2_2","1","JP1","Connector"
"JK60-010","RAD0.1","9","F1, F2, F3, F4, F5, F6, F7, F8, F9","Capacitor"
"LED","ROND-0.2","1","D1",""
"LM2576-5.0","TO-220-5S","1","U5",""
"MAX3232ESE","SO-16","1","U2","Connector"
"MAX3485ESA","SO-8","1","U3","DIFFERENTIAL BUS TRANSCEIVERS"
"REF198","SO-8","1","U7",""
"SA5.0CA","CON2_4A7","1","D3","Zener Diode"
"STM32F103C8T6","STM32F103C-48","1","U1","STM32 ARM-based 32-bit MCU with 64 Kbytes Flash, 48-pin LQFP, Industrial Temperature"
"SWD","CON4_2","1","J4","Connector"
"TLC2543CDW","SOL-20","1","U6",""
"TLV5617AI","SO-8","1","U8",""
"电源","CON2_5.08","1","J1","Connector"
"输入","","1","J3",""
"通讯","CON5_5.08","1","J2","Connector"
